Sub_id;Sub_name;credit
SW213;SOCIAL CHANGE AND SOCIAL PROBLEMS;3
CJ317;FAMILY VIOLENCE;3
CJ315;	THE COMMUNITY’S ROLE IN CRIME PREVENTION;3
SW478;GENDER IN SOCIAL DEVELOPMENT AND HUMAN SECURITY;3
PE240;VOLUNTEERISM AND SOCIAL DEVELOPMENT;3
PY218;EDUCATIONAL PSYCHOLOGY;3
TD436;CREATIVE EMBROIDERY;3
AT207;GENERAL ECONOMIC CROPS;3
DM207;ARTS IN THAI CULTURE;3
TU116;MAN AND ARTS : VISUAL ART MUSIC AND PERFORMING ARTS;3
TU156;INTRODUCTION TO COMPUTERS AND PROGRAMMING;3
SW366;FAMILY AND CHILD WELFARE;3
CJ321;THE CRIMINAL JUSTICE FOR JUVENILE;3
CS456;MANAGEMENT INFORMATION SYSTEMS;3
CS499;SELECTED TOPICS IN COMPUTER GRAPHICS;3
PE245;STUDENT AND SELF-DEVELOPMENT;2
IS201;MANAGEMENT INFORMATION SYSTEMS;3
CS408;SEMINAR IN SYSTEM ENGINEERING;3
SW489;SOCIAL WELFARE FOR PEOPLE WITH DISABILITY;3
MU135;THAI MUSIC 1;3
TU153;GENERAL CONCEPT OF COMPUTER;3
CF366;WORKING TECHNIQUES WITH CHILDREN AND YOUTH;3
MW318;PSYCHOTHERAPY IN SOCIAL WORK;3
SW467;CRIME PREVENTION AND TREATMENT OF OFFENDERS;3
CF367;WELFARE IN SPECIAL EDUCATION AND ALTERNATIVE EDUCATION;3
AS177;MALAY 1;3
AS178;MALAY 2;3
MU100;INTRODUCTION TO MUSIC;3
CN342;DATABASE SYSTEMS;3
TU100;CIVIC EDUCATION;3
CS496;RENDERING 2;3
JP172;JAPANESE 2;3
ES256;ENVIRONMENT AND SUSTAINABLE DEVELOPMENT;3
ES456;NATURE AND CULTURAL HERITAGE OF THAILAND;3
AS171;KOREAN 1;3
TU111;THAILAND IN HISTORICAL SOCIAL AND CULTURAL PERSPECTIVE;3
MU277;WESTERN SOLO SINGING : THEORY AND PRACTICE 1;3
MU202;DEVELOPMENT OF WESTERN MUSIC;3
PY217;MENTAL HEALTH;3
JC260;INTRODUCTION TO ADVERTISING;3
HS360;CONTEMPORARY HISTORY OF THE WEST;3
HS269;HISTORY OF LATIN AMERICA;3
CS469;SELECTED TOPICS IN ARTIFICIAL  INTELLIGENT SYSTEMS;3
FD211;	INTRODUCTION TO FOOD SCIENCE AND TECHNOLOGY;3
HS266;HISTORY OF MODERN EUROPE;3
SN212;SWIMMING;1
PY237;ADOLESCENT PSYCHOLOGY;3
AN201;INTRODUCTION TO ANTHROPOLOGY;3
SW214;SOCIAL WELFARE AND HUMAN SECURITY;3
SW224;SOCIAL WORK RESEARCH 1;3
SW222;FOUNDATION OF SOCIAL WORK  PRACTICE;3
SW223;SOCIAL WORK METHODOLOGY 1;3
SW486;MOBILIZATION AND UTILIZATION OF SOCIAL CAPITAL IN SOCIAL WORK;3
TU121;MAN AND SOCIETY;3
SW201;FIELD VISIT + SEMINAR;3
SW496;SOCIAL WORK PRACTICE FOR ADDICT GROUPS;3
TU113;FUNDAMENTALS OF PHILOSOPHY AND RELIGIONS;3
RT326;SMALL ENGINE FOR AGRICULTURE;3
NS112;HEALTH PROMOTION  1;3
CS102;COMPUTER PROGRAMMING FUNDAMENTALS;3
CS105;PRACTICUM FOR STRUCTURAL PROGRAMMING;1
CS111;OBJECT-ORIENTED PROGRAMMING;3
CS115;PRACTICUM FOR OBJECT-ORIENTED PROGRAMMING;1
TU110;INTEGRATED HUMANITIES;2
TU120;INTEGRATED SOCIAL SCIENCES;2
TU130;INTEGRATED SCIENCES AND TECHNOLOGY;2
CS211;SOFTWARE DEVELOPMENT USING APPLICATION PROGRAMMING INTERFACE;3
CS215;PROGRAMMING PRACTICUM USING APPLICATION PROGRAMMING INTERFACE;1
CS231;PROGRAMMING LANGUAGES AND PARADIGMS;3
CS300;SEMINAR IN PRACTICAL PROGRAMMING;1
CS341;OPERATING SYSTEMS I;3
SC173;FUNDAMENTAL CHEMISTRY LABORATORY;1
HR201;PRINCIPLES OF MANAGEMENT;3
SW111;SOCIAL WORK PHILOSOPHY AND CONCEPTS;3
AT307;AGRICULTURAL PRODUCTION PROCESS STANDARDS;3
CS301;COMPUTER SCIENCE PROJECT PROPOSAL AND PRESENTATION;3
MA216;CALCULUS FOR SOCIAL SCIENCE 1;3
MU165;TRADITIONAL THAI SOLO SINGING:THEOTY AND PRACTICE 1;3
PM235;COSMETICS IN DAILY LIFE;3
PM215;THE BASIC PRINCIPLES OF ADDICTIVE DRUGS AND TOXICOLOGY;3
PM236;DIETARY SUPPLEMENT IN DAILY LIFE;3
MA217;CALCULUS FOR SOCIAL SCIENCE 2;3
RE333;WOMEN IN RELIGIONS;3
EL231;ENGLISH FOR POLITICAL SCIENTISTS 1;3
CS275;HUMAN INFORMATION PROCESSING;3
CS286;SOFTWARE PROCESS AND QUALITY ASSURANCE;3
CS374;HUMAN – COMPUTER INTERACTION;3
SW365;FAMILY LIFE EDUCATION SEX EDUCATION AND SEXUAL ETHICS;3
ST217;STATISTICS  FOR  SOCIAL  SCIENCE 2;3
MU130;THAI MUSIC:THEORY AND PRACTICE 1;3
ST326;APPLIED PROBABILITY;3
