STUDENTID,ACADYEAR,SEMESTER,CAMPUSID,COURSEID,CAMPUSNAME,CURRIC,COURSENAME,SECTIONGROUP,CREDIT
336778,2554,2,2,CS342,RANGSIT,521,NET-CENTRIC COMPUTING 1,650001,3
336778,2554,2,2,CS374,RANGSIT,521,HUMAN - COMPUTER INTERACTION,650001,3
336778,2554,2,2,CS487,RANGSIT,521,SOFTWARE PROJECT MANAGEMENT,650001,3
336778,2554,2,2,MW314,RANGSIT,521,SOCIAL EPIDEMIOLOGY AND ECOLOGY OF HEALTH,650001,3
336780,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650002,4
336780,2552,3,2,SW335,RANGSIT,521,SOCIAL PROJECT FORMULATION AND MANAGEMENT,650001,3
336781,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336781,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336781,2553,1,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,650001,3
336781,2554,1,2,EL395,RANGSIT,521,ACADEMIC ENGLISH 2,650001,3
336781,2554,2,2,CS326,RANGSIT,521,EMBEDDED SYSTEMS DESIGN,650001,3
336782,2552,1,2,MA211,RANGSIT,521,CALCULUS 1,650001,3
336782,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336782,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336782,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650001,4
336782,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650002,4
336782,2552,2,2,EL172,RANGSIT,521,ENGLISH COURSE 3,650002,3
336782,2552,2,2,EL172,RANGSIT,521,ENGLISH COURSE 3,650001,3
336782,2552,2,2,MW313,RANGSIT,521,SOCIAL NETWORK AND SOCIAL SUPPORT,650001,3
336782,2552,2,2,SC123,RANGSIT,521,FUNDAMENTAL CHEMISTRY,650001,3
336782,2552,2,2,SC173,RANGSIT,521,FUNDAMENTAL CHEMISTRY   LABORATORY,650001,1
336782,2553,1,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650001,4
336782,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,650002,3
336782,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,650001,1
336782,2553,1,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,650001,3
336782,2554,1,2,EL395,RANGSIT,521,ACADEMIC ENGLISH 2,650002,3
336782,2555,1,2,CS387,RANGSIT,521,WEB APPLICATION AND ENTERPRISE PROGRAMS,650001,3
336782,2555,2,2,CS285,RANGSIT,521,PRACTICES AND PATTERNS IN OBJECT-ORIENTED PROGRAMMING,650001,3
336782,2555,2,2,SO201,RANGSIT,521,INTRODUCTION TO SOCIOLOGY,650001,3
336783,2552,1,2,MA211,RANGSIT,521,CALCULUS 1,650001,3
336783,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336783,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336783,2552,2,2,MW313,RANGSIT,521,SOCIAL NETWORK AND SOCIAL SUPPORT,650001,3
336783,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,650002,3
336783,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,650001,1
336783,2553,1,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,650001,3
336783,2554,2,2,CS311,RANGSIT,521,DESIGN AND ANALYSIS OF ALGORITHMS,650001,3
336783,2555,2,2,CS402,RANGSIT,521,SPECIAL PROJECTS 2,650001,3
336784,2552,1,2,EL171,RANGSIT,521,ENGLISH COURSE 2,650001,3
336784,2552,1,2,MA211,RANGSIT,521,CALCULUS 1,650001,3
336784,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336784,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336784,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650002,4
336784,2552,3,2,EL172,RANGSIT,521,ENGLISH COURSE 3,650001,3
336784,2552,3,2,SW335,RANGSIT,521,SOCIAL PROJECT FORMULATION AND MANAGEMENT,650001,3
336785,2552,1,2,MA211,RANGSIT,521,CALCULUS 1,650001,3
336785,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336785,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336786,2552,2,2,SC123,RANGSIT,521,FUNDAMENTAL CHEMISTRY,650001,3
336786,2552,2,2,SC173,RANGSIT,521,FUNDAMENTAL CHEMISTRY   LABORATORY,650001,1
336786,2553,3,2,MA212,RANGSIT,521,CALCULUS 2,650001,3
336786,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,650001,3
336787,2552,1,2,EL171,RANGSIT,521,ENGLISH COURSE 2,650001,3
336787,2552,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,650001,3
336787,2552,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,650001,1
336787,2552,2,2,CS111,RANGSIT,521,OBJECT-ORIENTED PROGRAMMING,650002,4
336787,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,650001,3
336787,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,650001,3
336787,2554,1,2,CS365,RANGSIT,521,ARTIFICIAL INTELLIGENT SYSTEMS,650001,3
336787,2554,1,2,CS395,RANGSIT,521,COMPUTER GRAPHICS,650001,3
336787,2554,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,650001,3
344128,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
344128,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344128,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344128,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
344128,2557,1,2,EL202,RANGSIT,521,ENGLISH FOR WORK,820004,3
344129,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344129,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344130,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344130,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344131,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344131,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344131,2554,2,2,CS296,RANGSIT,521,ART AND DESIGN FOUNDATIONS,890001,3
344131,2554,3,2,TA395,RANGSIT,521,MEDICINAL PLANTS IN DAILY LIFE,1,3
344132,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344132,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344132,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
344132,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
344132,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
344245,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344245,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344245,2553,2,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,60001,3
344245,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
344245,2554,1,2,MA221,RANGSIT,521,ELEMENTARY LOGIC AND SET THEORY,60001,3
344245,2555,1,2,CS297,RANGSIT,521,FUNDAMENTAL TECHNIQUES IN COMPUTER GRAPHICS USING API,40001,3
344245,2555,1,2,CS395,RANGSIT,521,COMPUTER GRAPHICS,90001,3
344245,2555,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
344245,2555,2,2,CS377,RANGSIT,521,DIGITAL IMAGE PROCESSING,50001,3
344245,2556,1,2,CS496,RANGSIT,521,RENDERING 2,10001,3
344245,2556,1,2,CS497,RANGSIT,521,REAL-TIME GRAPHICS,20001,3
344708,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
344708,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344708,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344708,2553,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
344708,2553,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
344708,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,910001,3
344708,2554,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
344708,2555,2,2,CS326,RANGSIT,521,EMBEDDED SYSTEMS DESIGN,100001,3
344709,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
344709,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344709,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344710,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344710,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344710,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
344710,2554,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
344711,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344711,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344711,2553,2,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,60001,3
344711,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
344711,2554,2,2,EL395,RANGSIT,521,ACADEMIC ENGLISH 2,50002,3
344711,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
344711,2554,2,2,TU122,RANGSIT,521,LAW IN EVERYDAY LIFE,820001,3
344712,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
344712,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
344712,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
344712,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
344712,2554,2,2,TU122,RANGSIT,521,LAW IN EVERYDAY LIFE,820001,3
344712,2556,2,2,MU278,RANGSIT,521,EAR TRAINING FOR MUSIC,810001,3
345353,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
345353,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351659,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
351660,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351660,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351660,2555,2,2,CS359,RANGSIT,521,DOCUMENT INDEXTING AND RETRIEVAL,30001,3
351661,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351661,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351661,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351661,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
351662,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351662,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351662,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351662,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351662,2553,3,1,LA209,THA PRACHAN,521,CIVIL AND COMMERCIAL LAW,598401,3
351662,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351662,2554,2,2,CS296,RANGSIT,521,ART AND DESIGN FOUNDATIONS,890001,3
351662,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351662,2555,2,2,CS388,RANGSIT,521,SOFTWARE CONSTRUCTION AND EVOLUTION,100001,3
351662,2556,1,2,CS386,RANGSIT,521,SOFTWARE CONFIGURATION MANAGEMENT,40001,3
351663,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351663,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351663,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351663,2555,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351663,2556,1,2,CS406,RANGSIT,521,SELECTED TOPICS  IN ADVANCED  SOFWARE ENGINEERING TECHNOLOGY,20001,3
351663,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351664,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351664,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351664,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351664,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351664,2554,2,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,10001,3
351664,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351665,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351665,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351665,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351665,2554,2,2,JC201,RANGSIT,521,LAW AND ETHICS OF MASS COMMUNICATION,40001,3
351665,2554,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
351665,2555,1,2,AT366,RANGSIT,521,AGRICULTURAL METEOROLOGY AND IRRIGATION,10001,3
351665,2556,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40001,3
351665,2556,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,30001,3
351665,2556,1,2,CS341,RANGSIT,521,OPERATING SYSTEMS 1,50001,3
351665,2556,1,2,CS401,RANGSIT,521,SPECIAL PROJECTS  1,1,2
351665,2556,1,2,CS406,RANGSIT,521,SELECTED TOPICS  IN ADVANCED  SOFWARE ENGINEERING TECHNOLOGY,20001,3
351665,2556,2,2,CS486,RANGSIT,521,SOFTWARE VALIDATION  AND  VERIFICATION,50001,3
351665,2557,1,2,CS341,RANGSIT,521,OPERATING SYSTEMS 1,50001,3
351665,2557,1,2,CS401,RANGSIT,521,SPECIAL PROJECTS  1,1,2
351665,2557,2,2,CS341,RANGSIT,521,OPERATING SYSTEMS 1,100001,3
351665,2557,2,2,JC201,RANGSIT,521,LAW AND ETHICS OF MASS COMMUNICATION,540001,3
351665,2557,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351666,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351666,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351666,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351666,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351667,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351667,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351667,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
351667,2554,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
351667,2554,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
351667,2554,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40001,3
351667,2554,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
351667,2554,2,2,CS301,RANGSIT,521,FUNDAMENTAL OF RESEARCH METHODOLOGY,150001,1
351667,2555,1,2,BA291,RANGSIT,521,INTRODUCTION TO BUSINESS,810001,3
351667,2555,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
351667,2555,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,830001,3
351667,2555,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,810001,3
351667,2555,1,2,CS395,RANGSIT,521,COMPUTER GRAPHICS,90001,3
351667,2555,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
351668,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351668,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351668,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
351668,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351668,2554,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
351668,2556,1,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
351669,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351669,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351669,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351669,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
351669,2554,1,2,AT326,RANGSIT,521,RICE AND PRODUCTION TECHNOLOGY,60001,3
351669,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351669,2555,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351670,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351670,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351670,2555,2,2,TU122,RANGSIT,521,LAW IN EVERYDAY LIFE,890001,3
351670,2557,1,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,10001,3
351670,2557,1,2,AT346,RANGSIT,521,ANIMAL DRUGS AND USAGE,35401,3
351671,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351671,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351671,2556,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
351671,2556,2,2,CS426,RANGSIT,521,PARALLEL ALGORITHM DESIGNS,20001,3
351672,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351672,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351672,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351672,2553,3,2,PE245,RANGSIT,521,STUDENT AND SELF-DEVELOPMENT,598401,2
351672,2555,2,2,CS388,RANGSIT,521,SOFTWARE CONSTRUCTION AND EVOLUTION,100001,3
351673,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351673,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351673,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351673,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351673,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
351673,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351674,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351674,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351674,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351674,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351674,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
351674,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351674,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351675,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351675,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351675,2553,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,230001,3
351675,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
351676,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351676,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351676,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351676,2554,2,2,TU122,RANGSIT,521,LAW IN EVERYDAY LIFE,820001,3
351676,2556,2,2,MU278,RANGSIT,521,EAR TRAINING FOR MUSIC,810001,3
351677,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351677,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351677,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351678,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351678,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351678,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351678,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351678,2553,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,910001,3
351678,2554,2,2,CS296,RANGSIT,521,ART AND DESIGN FOUNDATIONS,890001,3
351680,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351680,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351680,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351680,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351681,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351681,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351681,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351681,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351681,2555,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351681,2556,2,2,CS402,RANGSIT,521,SPECIAL PROJECTS 2,1,3
351681,2556,2,2,MA212,RANGSIT,521,CALCULUS 2,20001,3
351681,2557,1,2,CS402,RANGSIT,521,SPECIAL PROJECTS 2,1,3
351682,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351682,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351682,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351682,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351682,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
351683,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351683,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351683,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351683,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351683,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351683,2555,1,2,CS302,RANGSIT,521,COMPUTER SECURITY,820001,3
351684,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351684,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351684,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351684,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351684,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351684,2554,2,2,CS295,RANGSIT,521,MATHEMATICS FOR COMPUTER GRAPHICS,50001,3
351684,2554,2,2,CS296,RANGSIT,521,ART AND DESIGN FOUNDATIONS,890001,3
351684,2554,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351684,2556,1,2,CS406,RANGSIT,521,SELECTED TOPICS  IN ADVANCED  SOFWARE ENGINEERING TECHNOLOGY,20001,3
351684,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351685,2553,1,2,EL171,RANGSIT,521,ENGLISH COURSE 2,100001,3
351685,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351685,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351686,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351686,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351687,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351687,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351687,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351687,2555,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
351687,2556,1,2,CS406,RANGSIT,521,SELECTED TOPICS  IN ADVANCED  SOFWARE ENGINEERING TECHNOLOGY,20001,3
351687,2556,2,2,CS407,RANGSIT,521,SEMINAR IN SOFTWARE ENGINEERING,30001,3
351688,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
351688,2553,1,2,SC135,RANGSIT,521,GENERAL PHYSICS,80001,3
351688,2553,1,2,SC185,RANGSIT,521,GENERAL PHYSICS  LABORATORY,5401,1
351688,2553,2,2,MA211,RANGSIT,521,CALCULUS 1,20001,3
351688,2554,1,2,AT326,RANGSIT,521,RICE AND PRODUCTION TECHNOLOGY,60001,3
351688,2554,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
351688,2554,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,840001,1
351688,2554,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
351688,2554,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40001,3
351688,2554,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
351688,2554,1,2,EL295,RANGSIT,521,ACADEMIC ENGLISH 1,70002,3
351688,2554,1,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,230001,3
351688,2555,1,2,AT326,RANGSIT,521,RICE AND PRODUCTION TECHNOLOGY,60001,3
351688,2555,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,830001,3
351688,2555,2,2,CS213,RANGSIT,521,DATA STRUCTURES,70001,3
351688,2555,2,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,50001,3
351688,2555,2,2,CS261,RANGSIT,521,HUMAN INFORMATION PROCESSING,90001,3
351688,2555,2,2,CS301,RANGSIT,521,FUNDAMENTAL OF RESEARCH METHODOLOGY,810001,1
351688,2555,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
351688,2555,2,2,MU202,RANGSIT,521,DEVELOPMENT OF WESTERN MUSIC,320001,3
351688,2555,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
351688,2555,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,230001,3
351689,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
