"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""STUDYDAY"";""STUDYTIMEFROM"";""STUDYTIMETO"";""ROOM""",
"W;2;""RANGSIT"";2552;1;""SC135"";""471"";""GENERAL PHYSICS"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC1-202""",
"W;2;""RANGSIT"";2552;1;""SC135"";""521"";""GENERAL PHYSICS"";3;""650001"";""SAT"";30/12/1899 13:30:00;30/12/1899 16:25:00;""ติดต่อภาค""",
"W;2;""RANGSIT"";2552;1;""SC135"";""521"";""GENERAL PHYSICS"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC1-202""",
"W;2;""RANGSIT"";2552;1;""SC163"";""471"";""GENERAL BIOLOGY LABORATORY 1"";1;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""N/A""",
"W;2;""RANGSIT"";2552;1;""SC185"";""521"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";""SAT"";30/12/1899 13:30:00;30/12/1899 16:25:00;""N/A""",
"W;2;""RANGSIT"";2552;1;""SW213"";""471"";""SOCIAL CHANGE AND SOCIAL PROBLEMS"";3;""650001"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC3-117""",
"W;2;""RANGSIT"";2552;1;""TH161"";""521"";""THAI USAGE"";3;""650001"";""MON"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC2005""",
"W;2;""RANGSIT"";2552;1;""TH161"";""521"";""THAI USAGE"";3;""650001"";""MON"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC2004""",
"W;2;""RANGSIT"";2552;1;""TU110"";""471"";""INTEGRATED HUMANITIES"";3;""650001"";""WED"";30/12/1899 9:30:00;30/12/1899 12:25:00;""ยิมเนเซียม2""",
"W;2;""RANGSIT"";2552;1;""TU154"";""521"";""FOUNDATION OF MATHEMATICS"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""LC5-S210""",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4040""",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4043""",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040501"";""THU"";30/12/1899 13:30:00;30/12/1899 14:55:00;""N/A""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040501"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC4028""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040501"";""THU"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040501"";""TUE"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040502"";""THU"";30/12/1899 13:30:00;30/12/1899 14:55:00;""N/A""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040502"";""TUE"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040502"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC4029""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040502"";""THU"";30/12/1899 15:00:00;30/12/1899 16:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4040""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""ติดต่อคณะ""",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4043""",
"W;2;""RANGSIT"";2552;2;""CS112"";""471"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";""WED"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4004""",
"W;2;""RANGSIT"";2552;2;""CS112"";""471"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";""FRI"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4004""",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";""FRI"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4004""",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";""WED"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4004""",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100002"";""FRI"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4005""",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100002"";""WED"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC4005""",
"W;2;""RANGSIT"";2552;2;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";""FRI"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1026""",
"W;2;""RANGSIT"";2552;2;""CS231"";""471"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""650001"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4030""",
"W;2;""RANGSIT"";2552;2;""CS311"";""471"";""DESIGN AND ANALYSIS OF ALGORITHMS"";3;""650001"";""WED"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4028""",
"W;2;""RANGSIT"";2552;2;""CS342"";""471"";""NET-CENTRIC COMPUTING 1"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC3015""",
"W;2;""RANGSIT"";2552;2;""CS348"";""471"";""INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING"";3;""650001"";""WED"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC2001""",
"W;2;""RANGSIT"";2552;2;""CS348"";""471"";""INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING"";3;""650001"";""FRI"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC2001""",
"W;2;""RANGSIT"";2552;2;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC3038""",
"W;2;""RANGSIT"";2552;2;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC3038""",
"C;2;""RANGSIT"";2552;2;""CS359"";""471"";""DOCUMENT INDEXTING AND RETRIEVAL"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC1020""",
"C;2;""RANGSIT"";2552;2;""CS359"";""471"";""DOCUMENT INDEXTING AND RETRIEVAL"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC1020""",
"W;2;""RANGSIT"";2552;2;""CS366"";""471"";""FUNDAMENTAL OF NATURAL LANGUAGE PROCESSING"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;2;""CS374"";""471"";""HUMAN-COMPUTER INTERACTION"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC4029""",
"W;2;""RANGSIT"";2552;2;""CS377"";""471"";""DIGITAL IMAGE PROCESSING"";3;""650001"";""FRI"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;2;""CS386"";""471"";""SOFTWARE CONFIGURATION MANAGEMENT"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1023""",
"W;2;""RANGSIT"";2552;2;""CS389"";""471"";""SOFTWARE ARCHITECTURE"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;2;""CS447"";""471"";""OPERATING SYSTEM 2"";3;""650001"";""FRI"";30/12/1899 8:00:00;30/12/1899 9:25:00;""SC1023""",
"W;2;""RANGSIT"";2552;2;""CS447"";""471"";""OPERATING SYSTEM 2"";3;""650001"";""WED"";30/12/1899 8:00:00;30/12/1899 9:25:00;""SC1023""",
"W;2;""RANGSIT"";2552;2;""CS456"";""471"";""MANAGEMENT INFORMATION SYSTEMS"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC1049""",
"C;2;""RANGSIT"";2552;2;""CS458"";""471"";""INFORMATION SYSTEMS FOR ENTREPRENEUR MANAGEMENT"";3;""650001"";""MON"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3019""",
"W;2;""RANGSIT"";2552;2;""CS467"";""471"";""MACHINE LEARNING"";3;""650001"";""MON"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC1049""",
"W;2;""RANGSIT"";2552;2;""CS476"";""471"";""COMPUTER GRAPHICS 2"";3;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC2047""",
"W;2;""RANGSIT"";2552;2;""CS476"";""471"";""COMPUTER GRAPHICS 2"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC2047""",
"W;2;""RANGSIT"";2552;2;""CS486"";""471"";""SOFTWARE VALIDATION  AND  VERIFICATION"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC2047""",
"W;2;""RANGSIT"";2552;2;""CS486"";""471"";""SOFTWARE VALIDATION  AND  VERIFICATION"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 16:25:00;""SC2047""",
"W;2;""RANGSIT"";2552;2;""CS487"";""471"";""SOFTWARE PROJECT MANAGEMENT"";3;""650001"";""WED"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC1016""",
"W;2;""RANGSIT"";2552;2;""EL171"";""471"";""ENGLISH COURSE 2"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3042""",
"W;2;""RANGSIT"";2552;2;""EL171"";""521"";""ENGLISH COURSE 2"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3042""",
"W;2;""RANGSIT"";2552;2;""EL172"";""471"";""ENGLISH COURSE 3"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3043""",
"W;2;""RANGSIT"";2552;2;""EL172"";""471"";""ENGLISH COURSE 3"";3;""650002"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3046""",
"W;2;""RANGSIT"";2552;2;""EL172"";""521"";""ENGLISH COURSE 3"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3043""",
"W;2;""RANGSIT"";2552;2;""EL172"";""521"";""ENGLISH COURSE 3"";3;""650002"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3046""",
"W;2;""RANGSIT"";2552;2;""EL396"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 2"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC3015""",
"W;2;""RANGSIT"";2552;2;""EL396"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 2"";3;""650002"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC3016""",
"W;2;""RANGSIT"";2552;2;""MA212"";""472"";""CALCULUS 2"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1026""",
"W;2;""RANGSIT"";2552;2;""MA212"";""521"";""CALCULUS 2"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1026""",
"W;2;""RANGSIT"";2552;2;""MA332"";""471"";""LINEAR ALGEBRA"";3;""650001"";""WED"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1025""",
"W;2;""RANGSIT"";2552;2;""MW313"";""471"";""SOCIAL NETWORK AND SOCIAL SUPPORT"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3039""",
"W;2;""RANGSIT"";2552;2;""MW313"";""521"";""SOCIAL NETWORK AND SOCIAL SUPPORT"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3039""",
"W;2;""RANGSIT"";2552;2;""PY228"";""471"";""PSYCHOLOGY OF INTERPERSONAL RELATIONS"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3006""",
"W;2;""RANGSIT"";2552;2;""PY228"";""521"";""PSYCHOLOGY OF INTERPERSONAL RELATIONS"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC3006""",
"W;2;""RANGSIT"";2552;2;""SC123"";""471"";""FUNDAMENTAL CHEMISTRY"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC5-S103""",
"W;2;""RANGSIT"";2552;2;""SC123"";""521"";""FUNDAMENTAL CHEMISTRY"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC5-S103""",
"W;2;""RANGSIT"";2552;2;""SC135"";""471"";""GENERAL PHYSICS"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC5-S201""",
"W;2;""RANGSIT"";2552;2;""SC135"";""521"";""GENERAL PHYSICS"";3;""650001"";""SAT"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC5-S201""",
"W;2;""RANGSIT"";2552;2;""SC173"";""471"";""FUNDAMENTAL CHEMISTRY   LABORATORY"";1;""650001"";""SAT"";30/12/1899 13:30:00;30/12/1899 16:25:00;""N/A""",
"W;2;""RANGSIT"";2552;2;""SC173"";""521"";""FUNDAMENTAL CHEMISTRY   LABORATORY"";1;""650001"";""SAT"";30/12/1899 13:30:00;30/12/1899 16:25:00;""N/A""",
"W;2;""RANGSIT"";2552;2;""SC185"";""471"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";""SAT"";30/12/1899 13:30:00;30/12/1899 16:25:00;""N/A""",
