"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2552;1;""SC135"";""471"";""GENERAL PHYSICS"";3;""650001"";27",
"W;2;""RANGSIT"";2552;1;""SC135"";""521"";""GENERAL PHYSICS"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""SC163"";""471"";""GENERAL BIOLOGY LABORATORY 1"";1;""650001"";78",
"C;2;""RANGSIT"";2552;1;""SC173"";""471"";""FUNDAMENTAL CHEMISTRY   LABORATORY"";1;""650001"";0",
"W;2;""RANGSIT"";2552;1;""SC185"";""471"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";27",
"W;2;""RANGSIT"";2552;1;""SC185"";""521"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";0",
"W;2;""RANGSIT"";2552;1;""SW213"";""471"";""SOCIAL CHANGE AND SOCIAL PROBLEMS"";3;""650001"";50",
"W;2;""RANGSIT"";2552;1;""SW213"";""521"";""SOCIAL CHANGE AND SOCIAL PROBLEMS"";3;""650001"";10",
"W;2;""RANGSIT"";2552;1;""SW338"";""471"";""POPULAR PARTICIPATION IN SOCIAL DEVELOPMENT"";3;""650001"";44",
"W;2;""RANGSIT"";2552;1;""TH161"";""471"";""THAI USAGE 1"";3;""650001"";0",
"W;2;""RANGSIT"";2552;1;""TH161"";""521"";""THAI USAGE"";3;""650001"";84",
"W;2;""RANGSIT"";2552;1;""TU110"";""471"";""INTEGRATED HUMANITIES"";3;""650001"";77",
"W;2;""RANGSIT"";2552;1;""TU154"";""521"";""FOUNDATION OF MATHEMATICS"";3;""650001"";85",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";5",
"W;2;""RANGSIT"";2552;2;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";23",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040501"";39",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""040502"";35",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650001"";50",
"W;2;""RANGSIT"";2552;2;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""650002"";31",
"W;2;""RANGSIT"";2552;2;""CS112"";""471"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";56",
